date,open,max,min,close,vol
2011-05-10,37.905,39.935,37.276,39.754,973320
2011-05-11,39.658,39.658,39.086,39.086,57977
2011-05-12,38.791,39.554,37.962,39.078,80294
2011-05-13,38.696,38.773,38.506,38.629,13055
2011-05-16,38.648,38.982,38.582,38.878,41767
2011-05-17,38.791,38.869,38.506,38.515,72880
2011-05-18,38.6,38.725,38.515,38.6,8275
2011-05-19,38.6,38.658,37.599,38.648,24645
2011-05-20,38.678,38.678,38.343,38.6,22757
2011-05-23,38.61,38.61,38.333,38.411,41349
2011-05-24,38.124,38.6,37.743,38.6,43517
2011-05-25,38.506,39.078,38.506,39.078,9665
2011-05-26,38.839,39.459,38.791,38.791,34983
2011-05-27,38.515,38.886,38.515,38.839,10432
2011-05-30,38.563,38.696,38.22,38.23,15789
2011-05-31,38.162,39.726,38.115,39.515,63420
2011-06-01,39.515,39.515,38.6,39.411,1602
2011-06-02,39.363,39.363,38.6,39.259,6353
2011-06-03,38.648,39.22,38.6,38.648,6092
2011-06-06,38.515,39.078,38.315,39.078,40118
2011-06-07,38.6,39.078,38.6,39.078,56898
2011-06-08,38.6,39.078,38.6,39.078,123883
2011-06-09,38.886,38.886,38.6,38.6,39670
2011-06-10,38.506,38.6,38.22,38.6,59618
2011-06-13,38.506,38.696,38.506,38.648,22948
2011-06-14,38.162,38.42,38.162,38.42,60658
2011-06-15,38.134,38.6,38.134,38.582,12344
2011-06-16,36.409,38.172,36.409,38.124,17598
2011-06-17,37.981,38.124,37.552,38.124,44351
2011-06-20,36.695,38.124,36.695,37.838,101655
2011-06-21,37.648,38.124,37.648,37.838,118454
2011-06-22,37.658,38.591,37.658,38.124,3218
2011-06-24,38.115,38.315,37.944,38.124,12292
2011-06-27,38.049,38.22,38.029,38.124,55459
2011-06-28,37.362,38.124,37.362,38.124,2754
2011-06-29,38.029,38.315,38.029,38.315,8739
2011-06-30,38.6,38.6,38.124,38.6,12214
2011-07-01,39.078,40.936,39.078,40.802,36779
2011-07-04,40.746,41.46,40.746,41.46,24683
2011-07-05,41.604,41.65,41.003,41.269,13064
2011-07-06,41.137,41.269,40.221,41.269,9102
2011-07-07,41.269,41.746,40.641,41.46,15072
2011-07-08,41.269,41.699,40.078,40.078,5388
2011-07-11,40.05,40.887,40.002,40.125,4735
2011-07-12,40.716,40.716,37.724,40.012,44787
2011-07-13,39.078,40.507,39.078,40.03,6742
2011-07-14,39.182,40.02,39.182,40.012,17796
2011-07-15,40.012,40.012,39.554,39.839,654
2011-07-18,39.191,39.191,38.6,38.982,2329
2011-07-19,38.791,38.982,38.142,38.6,2602
2011-07-20,38.6,38.934,38.248,38.258,2055
2011-07-21,38.506,38.506,37.658,38.124,4234
2011-07-22,38.134,38.934,38.134,38.934,53511
2011-07-25,39.049,39.049,38.411,39.03,2716
2011-07-26,39.039,39.545,38.886,39.078,4113
2011-07-27,39.078,39.269,38.6,38.6,2681
2011-07-28,38.6,38.6,37.838,38.22,7014
2011-07-29,38.8,38.8,38.039,38.791,24404
2011-08-01,38.134,38.363,37.543,37.648,51617
2011-08-02,37.981,37.981,37.552,37.552,22069
2011-08-03,37.934,37.934,35.741,36.79,34854
2011-08-04,35.264,37.076,35.264,35.455,35640
2011-08-05,30.499,35.741,30.499,35.075,28497
2011-08-08,32.501,34.788,32.406,33.263,25705
2011-08-09,32.406,32.454,29.27,31.929,148443
2011-08-10,32.787,33.358,29.651,30.499,70917
2011-08-11,30.975,32.406,30.213,32.406,13027
2011-08-12,33.788,34.216,32.882,34.054,3449
2011-08-16,35.075,35.075,32.692,33.74,8914
2011-08-17,34.95,34.95,33.358,33.358,2046
2011-08-18,33.34,34.15,31.643,31.643,10474
2011-08-19,31.643,32.968,31.643,32.949,3830
2011-08-22,33.358,33.931,32.882,33.836,980
2011-08-23,34.025,34.025,33.358,33.358,1710
2011-08-24,33.168,33.358,33.168,33.358,460
2011-08-25,33.453,34.312,33.453,33.836,837
2011-08-26,34.635,34.635,33.836,34.312,1242
2011-08-29,34.693,35.075,33.836,35.075,54938
2011-08-30,35.075,35.075,34.693,34.884,29322
2011-08-31,36.046,37.457,35.075,35.932,30237
2011-09-01,36.695,36.695,34.312,35.731,1908
2011-09-02,35.027,35.751,35.027,35.618,5118
2011-09-05,34.788,35.264,34.025,35.264,2542
2011-09-06,35.245,35.55,34.884,35.55,74868
2011-09-07,35.55,36.179,35.504,35.837,649
2011-09-08,38.124,38.124,37.314,38.124,329363
2011-09-09,38.105,38.22,36.237,37.743,15211
2011-09-12,37.743,37.743,35.885,36.312,4491
2011-09-13,36.312,37.181,35.741,36.218,3282
2011-09-14,36.218,36.312,36.218,36.218,15856
2011-09-15,36.981,36.981,36.608,36.656,1316
2011-09-16,36.227,37.629,36.227,37.599,1795
2011-09-19,37.648,37.648,36.504,37.267,68092
2011-09-20,37.267,37.838,37.267,37.838,2654
2011-09-21,37.648,38.944,37.648,38.506,3136
2011-09-22,38.124,38.124,37.314,37.457,6498
2011-09-23,36.523,37.971,36.523,36.981,123401
2011-09-26,37.648,38.428,37.343,38.428,2594
2011-09-27,38.411,40.03,38.411,39.554,14230
2011-09-28,39.649,41.183,39.649,41.078,62852
2011-09-29,40.983,41.812,40.983,41.812,10444
2011-09-30,40.507,42.241,40.507,40.983,66109
2011-10-03,40.983,40.983,39.174,40.211,7808
2011-10-04,40.03,40.03,38.438,38.506,11440
2011-10-05,39.078,40.231,38.982,40.211,6271
2011-10-06,40.297,40.983,40.125,40.507,697
2011-10-07,40.231,40.231,39.887,40.03,6529
2011-10-10,40.03,40.03,39.174,40.03,9486
2011-10-11,40.297,40.316,39.839,40.316,43375
2011-10-12,40.411,40.698,39.611,40.698,34685
2011-10-13,40.698,41.918,39.945,40.411,6573
2011-10-14,40.06,40.411,40.03,40.125,42843
2011-10-17,41.269,41.269,40.03,40.03,1467
2011-10-18,39.572,40.03,38.839,40.03,1918
2011-10-19,40.03,40.03,39.269,39.754,5820
2011-10-20,39.554,40.03,39.086,40.03,4346
2011-10-21,39.658,39.658,39.269,39.269,1302
2011-10-24,39.125,39.792,38.42,39.792,19632
2011-10-25,40.03,40.25,39.363,40.145,620
2011-10-26,40.02,40.145,38.61,40.115,1152
2011-10-27,40.03,40.698,39.554,40.698,3713
2011-10-28,40.983,40.983,39.859,39.859,578
2011-10-31,39.22,40.955,39.22,40.411,6665
2011-11-02,39.078,40.221,38.629,40.03,4841
2011-11-03,40.221,40.507,39.554,40.507,1403
2011-11-04,39.839,40.411,39.839,40.411,5065
2011-11-07,40.306,40.316,39.935,40.268,225875
2011-11-08,40.411,40.964,40.125,40.793,2094
2011-11-09,40.698,40.698,39.859,40.03,1051
2011-11-10,39.554,39.935,39.078,39.831,540
2011-11-14,39.982,40.402,39.145,39.554,2021
2011-11-15,39.269,39.554,36.36,39.554,5697
2011-11-16,39.592,40.507,39.592,40.507,2504
2011-11-17,40.507,40.602,39.744,40.507,1084
2011-11-18,40.088,40.088,38.743,40.03,9066
2011-11-21,39.554,39.554,38.6,38.61,1732
2011-11-22,38.6,39.078,38.6,39.078,10104
2011-11-23,39.554,39.554,38.333,38.61,69107
2011-11-24,38.886,39.363,38.886,39.049,1011
2011-11-25,38.696,40.411,38.61,39.982,11003
2011-11-28,38.791,39.744,38.791,39.744,3700
2011-11-29,39.086,39.744,39.086,39.736,2562
2011-11-30,39.459,41.937,39.459,41.937,62649
2011-12-01,40.993,41.937,40.517,40.698,32619
2011-12-02,41.784,41.784,40.736,40.936,1636
2011-12-05,40.793,41.46,40.517,40.887,812
2011-12-06,40.983,40.983,40.602,40.602,481
2011-12-07,40.878,40.878,40.316,40.326,2110
2011-12-08,40.154,40.983,39.736,40.983,6465
2011-12-09,40.602,41.364,39.887,40.793,664
2011-12-12,40.974,41.354,40.974,40.974,7794
2011-12-13,40.602,40.793,40.517,40.793,445
2011-12-14,40.983,41.163,40.983,40.983,703
2011-12-15,41.078,41.078,40.221,40.221,931
2011-12-16,40.221,40.316,40.221,40.316,61
2011-12-19,40.983,41.069,40.469,40.469,24636
2011-12-20,40.221,41.173,40.221,40.536,182490
2011-12-21,41.127,41.65,40.983,41.46,112305
2011-12-22,40.983,41.078,40.706,40.983,1141
2011-12-23,41.173,41.173,40.983,40.983,7064
2011-12-27,40.316,41.078,40.221,40.983,3813
2011-12-28,41.364,41.937,41.364,41.794,2645
2011-12-29,41.832,41.832,41.479,41.479,30273
2011-12-30,41.46,41.689,41.041,41.669,495
2012-01-02,41.765,41.765,41.117,41.251,1700
2012-01-03,41.46,41.727,40.983,41.46,53079
2012-01-04,41.46,41.46,41.269,41.269,216
2012-01-05,41.269,41.46,41.078,41.078,1930
2012-01-09,40.993,41.46,40.983,41.46,2336
2012-01-10,41.46,41.46,40.793,40.793,1809
2012-01-11,40.793,40.983,40.173,40.173,1944
2012-01-12,40.03,41.041,39.363,40.507,6400
2012-01-13,41.432,41.432,40.507,40.897,8244
2012-01-16,40.411,40.651,40.411,40.621,19239
2012-01-17,40.688,40.698,40.46,40.669,3186
2012-01-18,41.432,41.432,40.364,40.983,4385
2012-01-19,40.983,40.983,40.507,40.793,41861
2012-01-20,40.202,41.078,40.202,41.078,1077
2012-01-23,40.517,40.832,40.469,40.832,1765
2012-01-24,40.887,41.031,40.887,40.983,5309
2012-01-25,40.746,40.802,40.421,40.802,111
2012-01-26,40.43,40.983,40.43,40.651,47750
2012-01-27,40.974,41.031,40.698,41.031,8362
2012-01-30,40.536,40.983,40.231,40.983,1897
2012-01-31,40.974,40.983,40.231,40.393,1325
2012-02-01,40.698,40.887,40.621,40.698,2687
2012-02-02,40.698,40.706,40.602,40.602,140516
2012-02-03,40.507,40.841,40.03,40.841,3480
2012-02-06,40.887,41.89,40.851,41.46,5226
2012-02-07,41.89,44.319,41.842,44.319,21073
2012-02-08,44.987,46.225,43.853,44.319,8999
2012-02-09,43.7,44.406,43.175,43.175,4511
2012-02-10,43.156,43.175,42.232,42.87,2181
2012-02-13,43.175,43.833,42.46,42.89,8481
2012-02-14,42.9,42.966,42.87,42.89,2432
2012-02-15,42.89,43.833,42.89,43.815,29493
2012-02-16,43.805,44.701,43.652,44.606,2276
2012-02-17,44.606,44.701,44.281,44.414,5250
2012-02-20,44.462,44.701,43.948,44.691,3176
2012-02-21,44.701,44.797,44.338,44.797,1790
2012-02-22,44.797,44.892,43.185,43.347,6063
2012-02-23,43.271,44.663,43.271,44.129,3234
2012-02-24,43.843,44.406,43.843,44.319,1172
2012-02-27,44.224,45.653,44.224,45.397,7138
2012-02-28,45.397,45.748,44.701,45.369,20559
2012-02-29,45.273,45.701,44.462,44.892,1761
2012-03-01,44.511,44.777,43.853,44.682,1715
2012-03-02,45.264,45.264,44.366,44.366,2875
2012-03-05,44.519,44.977,44.511,44.797,1021
2012-03-06,44.528,44.528,41.945,42.986,5738
2012-03-07,42.986,43.652,42.9,43.652,29110
2012-03-08,43.833,45.463,43.833,45.215,4261
2012-03-09,45.32,45.32,44.797,45.073,492
2012-03-12,45.359,45.359,43.652,45.12,4148
2012-03-13,45.225,45.225,43.632,43.652,25588
2012-03-14,44.777,45.196,43.672,44.815,93030
2012-03-15,44.987,45.844,44.987,45.653,7241
2012-03-16,45.748,46.063,45.273,45.635,3321
2012-03-19,44.606,45.369,44.034,44.034,3587
2012-03-20,44.224,45.264,44.034,45.073,3788
2012-03-21,45.273,45.748,44.663,45.748,12252
2012-03-22,45.93,47.179,45.93,46.654,20174
2012-03-23,47.626,48.513,47.179,48.036,14829
2012-03-26,48.132,48.37,47.846,48.132,65102
2012-03-27,48.036,48.036,47.656,47.798,332852
2012-03-28,47.751,48.513,47.656,48.513,16321
2012-03-29,48.513,49.084,47.332,47.379,56446
2012-03-30,47.379,48.084,47.379,47.846,24364
2012-04-02,47.846,49.466,46.235,46.711,24439
2012-04-03,47.302,48.227,46.796,47.227,26627
2012-04-04,47.656,47.656,46.321,46.321,12948
2012-04-05,46.331,47.646,46.331,47.332,24376
2012-04-10,48.036,48.036,46.455,46.484,6730
2012-04-11,46.484,47.656,45.273,47.179,38493
2012-04-12,47.646,49.18,47.646,49.18,9985
2012-04-13,49.561,49.561,48.609,48.609,15640
2012-04-16,48.132,49.084,48.132,48.704,3881
2012-04-17,48.895,48.895,48.132,48.704,2038
2012-04-18,48.752,48.895,47.656,48.609,7819
2012-04-19,48.609,48.609,47.656,47.656,4252
2012-04-20,47.656,47.656,46.741,47.465,4115
2012-04-23,47.608,47.608,44.797,44.797,10769
2012-04-24,44.987,46.311,44.987,45.463,17286
2012-04-25,46.13,46.225,45.748,45.748,16069
2012-04-26,46.311,46.311,45.844,45.939,7073
2012-04-27,46.225,46.692,45.988,46.034,3338
2012-04-30,46.607,46.607,46.034,46.034,1599
2012-05-02,46.034,46.034,44.987,45.73,3743
2012-05-04,45.083,45.711,44.797,45.605,1895
2012-05-07,44.044,45.416,44.044,45.178,3959
2012-05-08,45.92,46.225,45.911,46.225,2008
2012-05-09,46.179,46.511,45.653,46.321,1290
2012-05-10,46.416,47.169,45.653,46.607,505
2012-05-11,46.607,46.796,45.796,46.796,1368
2012-05-14,47.179,47.179,45.854,46.225,839
2012-05-15,45.758,46.225,45.558,45.558,23150
2012-05-16,45.463,45.463,42.89,44.843,13220
2012-05-17,44.797,44.797,42.851,42.89,12488
2012-05-18,41.927,43.795,41.927,43.7,3785
2012-05-21,44.005,44.386,44.005,44.319,781
2012-05-22,44.414,45.225,43.129,43.795,2565
2012-05-23,43.652,43.748,43.652,43.748,21173
2012-05-24,42.89,43.366,42.89,43.366,713
2012-05-25,42.9,43.557,42.89,43.557,1206
2012-05-28,43.223,43.843,43.223,43.843,197
2012-05-29,42.994,43.748,42.994,42.994,148
2012-05-30,42.89,42.9,42.89,42.89,1103
2012-05-31,42.509,44.511,42.509,43.938,8352
2012-06-01,43.833,44.319,43.833,43.833,626
2012-06-04,43.032,43.833,42.986,43.032,2581
2012-06-05,43.032,43.72,41.993,43.557,1647
2012-06-06,42.079,43.938,42.079,43.938,1237
2012-06-08,43.976,44.492,43.205,43.833,1155
2012-06-11,44.034,44.768,44.034,44.615,4573
2012-06-12,44.787,44.872,44.606,44.872,42948
2012-06-13,44.797,44.872,44.511,44.511,12491
2012-06-14,44.406,44.406,43.901,43.948,12402
2012-06-15,43.461,44.453,42.919,43.614,267
2012-06-18,43.843,44.596,43.662,43.662,6402
2012-06-19,43.748,43.748,42.756,42.89,11334
2012-06-20,42.89,42.89,42.184,42.841,1140
2012-06-21,42.841,43.662,42.509,42.89,25548
2012-06-22,42.89,42.89,42.137,42.89,1635
2012-06-25,42.89,42.89,42.509,42.88,982
2012-06-26,42.442,43.223,42.413,43.223,2973
2012-06-27,43.081,43.081,42.651,43.081,430
2012-06-28,42.89,42.89,42.555,42.89,20277
2012-06-29,42.89,44.129,42.423,44.129,3355
2012-07-02,43.461,44.71,43.461,44.71,3253
2012-07-03,44.653,44.672,43.853,44.081,45107
2012-07-04,44.682,44.682,43.843,43.843,1833
2012-07-05,44.129,44.738,44.129,44.319,2802
2012-07-06,44.319,44.653,43.376,44.653,5497
2012-07-09,44.691,44.691,43.843,43.891,647
2012-07-10,44.129,44.672,43.871,43.871,1289
2012-07-11,43.871,44.643,43.795,43.795,891
2012-07-12,43.795,43.795,43.041,43.271,256
2012-07-13,43.366,43.366,42.699,42.89,2300
2012-07-16,42.529,43.366,42.529,42.89,100
2012-07-17,42.413,43.7,42.413,43.7,1812
2012-07-18,43.7,43.7,42.994,43.652,31665
2012-07-19,43.09,43.175,42.946,42.986,7368
2012-07-20,42.423,43.252,42.423,43.232,825
2012-07-23,43.032,43.032,40.03,41.65,13595
2012-07-24,41.927,42.356,41.927,41.937,4404
2012-07-25,41.937,42.27,41.937,42.27,731
2012-07-26,41.937,41.937,41.937,41.937,768
2012-07-27,42.013,42.795,42.013,42.795,456
2012-07-30,42.89,42.986,42.795,42.89,1453
2012-07-31,42.841,43.262,42.413,43.262,4697
2012-08-01,43.318,43.318,42.699,42.699,628
2012-08-02,42.137,42.175,41.937,42.175,28067
2012-08-03,42.175,43.366,42.032,43.357,4823
2012-08-06,42.699,43.509,42.699,43.366,1242
2012-08-07,42.709,43.223,42.699,42.89,1320
2012-08-08,42.89,43.366,42.89,43.366,35039
2012-08-09,42.289,43.366,41.937,43.357,8359
2012-08-10,43.386,43.386,42.89,42.89,510
2012-08-13,42.89,42.89,42.555,42.555,237
2012-08-14,42.555,43.271,42.509,43.271,504
2012-08-16,42.46,42.89,42.46,42.575,2017
2012-08-17,42.529,42.89,42.529,42.546,6546
2012-08-20,42.46,42.89,42.46,42.89,2294
2012-08-21,42.986,44.034,42.986,44.034,2414
2012-08-22,43.652,44.272,43.652,43.843,1986
2012-08-23,44.11,44.11,43.843,43.843,2817
2012-08-24,43.366,43.557,43.223,43.557,859
2012-08-27,43.652,44.129,42.89,44.119,2108
2012-08-28,44.119,44.129,43.366,43.366,483
2012-08-29,43.09,44.138,43.09,44.034,2741
2012-08-30,44.034,44.034,43.843,43.843,5895
2012-08-31,43.938,44.797,43.938,44.797,3727
2012-09-03,43.996,44.129,43.862,43.928,1113
2012-09-04,43.853,44.215,43.7,43.843,16768
2012-09-05,43.843,43.843,42.89,43.271,1436
2012-09-06,42.47,42.976,42.413,42.976,39495
2012-09-07,42.986,43.347,42.46,42.699,11819
2012-09-10,42.366,42.89,42.366,42.47,6594
2012-09-11,42.413,42.88,42.413,42.88,1329
2012-09-12,42.88,43.785,42.47,42.47,1174
2012-09-13,42.489,42.565,42.489,42.509,21750
2012-09-14,43.728,43.738,42.519,43.738,13710
2012-09-17,43.843,43.843,42.614,42.642,5437
2012-09-18,43.175,43.175,42.529,42.89,793
2012-09-19,42.986,42.986,42.433,42.89,424
2012-09-20,42.89,43.309,42.127,43.081,34965
2012-09-21,43.166,43.166,42.127,42.127,3564
2012-09-24,42.88,42.88,42.223,42.223,9151
2012-09-25,42.604,42.604,42.604,42.604,626
2012-09-26,42.785,42.795,42.509,42.604,42353
2012-09-27,42.413,42.689,42.27,42.27,335
2012-09-28,42.27,42.68,42.223,42.651,31216
2012-10-01,42.651,42.651,42.651,42.651,3
2012-10-02,42.651,42.937,42.509,42.937,2321
2012-10-03,42.89,43.023,42.699,43.023,1002
2012-10-04,43.032,43.843,43.032,43.376,61088
2012-10-05,43.461,43.461,43.1,43.1,1743
2012-10-08,42.805,42.89,42.795,42.89,58292
2012-10-09,43.081,43.129,42.986,43.004,75238
2012-10-10,42.986,43.081,42.604,43.071,140173
2012-10-11,42.46,42.795,42.46,42.795,14954
2012-10-12,42.795,42.89,42.795,42.89,84
2012-10-15,42.89,42.89,42.46,42.509,2365
2012-10-16,42.509,42.88,42.509,42.88,6203
2012-10-17,42.509,42.89,42.509,42.509,6363
2012-10-18,42.509,42.604,42.509,42.509,3268
2012-10-19,42.795,42.86,42.223,42.509,40368
2012-10-22,42.413,42.413,42.232,42.318,228
2012-10-23,42.223,42.223,42.032,42.175,1060
2012-10-24,42.032,42.127,41.46,42.127,905
2012-10-25,42.127,42.89,42.127,42.509,5284
2012-10-26,42.413,42.509,41.66,41.66,5137
2012-10-29,42.509,42.509,41.746,41.756,1149
2012-10-30,41.937,42.795,41.937,42.413,26703
2012-10-31,42.86,42.86,41.555,41.555,2864
2012-11-02,41.565,41.614,41.565,41.614,815
2012-11-05,41.614,42.175,41.46,41.46,1727
2012-11-06,41.46,41.842,41.393,41.413,291
2012-11-07,41.269,41.546,40.983,41.536,1450
2012-11-08,40.983,40.983,40.411,40.887,23832
2012-11-09,40.507,40.887,40.43,40.46,849
2012-11-12,40.841,41.937,40.841,40.983,1672
2012-11-13,40.974,41.403,40.698,40.706,741
2012-11-14,40.706,42.89,40.706,42.89,7984
2012-11-15,42.89,42.89,41.842,42.032,763
2012-11-16,42.88,42.88,41.985,42.785,9982
2012-11-19,42.89,42.89,42.509,42.699,12708
2012-11-20,42.699,42.699,41.985,42.413,26913
2012-11-21,42.413,42.509,41.937,42.032,742
2012-11-22,42.375,42.375,41.423,41.423,777
2012-11-23,41.279,42.127,41.088,41.927,417
2012-11-26,41.108,41.937,41.088,41.699,4294
2012-11-27,41.927,41.927,41.479,41.927,167
2012-11-28,41.918,41.927,41.469,41.927,267
2012-11-29,41.927,41.937,41.374,41.393,4256
2012-11-30,41.746,41.794,41.46,41.746,1127
2012-12-03,41.746,41.746,41.46,41.65,2343
2012-12-04,41.46,41.937,41.46,41.546,663
2012-12-05,41.173,41.65,41.173,41.508,2051
2012-12-06,41.098,41.765,41.098,41.327,3420
2012-12-07,41.441,41.46,40.983,41.003,40525
2012-12-10,41.146,41.146,41.003,41.012,385
2012-12-11,40.993,41.46,40.859,40.897,1149
2012-12-12,40.746,40.746,40.43,40.555,4999
2012-12-13,40.602,41.078,40.573,41.078,590
2012-12-14,41.546,41.842,40.983,41.822,4802
2012-12-17,41.918,42.032,41.85,42.032,3651
2012-12-18,42.241,42.356,42.241,42.318,1036
2012-12-19,42.413,42.89,42.318,42.89,97994
2012-12-20,42.986,44.024,42.986,43.986,9708
2012-12-21,43.843,44.206,42.413,42.413,14355
2012-12-27,42.413,43.366,41.937,42.413,8864
2012-12-28,42.27,42.413,41.955,41.993,1770
2013-01-02,42.032,42.89,41.937,42.89,5878
2013-01-03,43.366,43.366,42.841,42.89,6917
2013-01-04,42.89,43.175,42.89,42.89,8005
2013-01-07,42.89,43.175,42.89,42.89,3373
2013-01-08,42.9,43.986,42.9,43.843,4089
2013-01-09,43.843,44.462,43.843,44.319,2686
2013-01-10,44.319,46.225,44.319,46.13,40102
2013-01-11,46.321,47.465,45.874,47.37,6268
2013-01-14,47.465,47.656,47.37,47.656,1210
2013-01-15,47.37,47.37,46.225,46.511,1926
2013-01-16,45.892,47.274,45.892,47.274,1016
2013-01-17,46.902,47.169,46.892,47.169,379
2013-01-18,47.169,47.56,46.806,47.56,56275
2013-01-21,46.845,47.083,46.816,47.074,2203
2013-01-22,47.074,47.503,47.074,47.503,2600
2013-01-23,47.465,47.56,45.988,47.179,7231
2013-01-24,46.721,47.179,46.701,46.902,13251
2013-01-25,46.902,47.465,46.892,47.417,1844
2013-01-28,47.179,47.455,46.845,47.37,30883
2013-01-29,47.36,47.36,47.227,47.227,5668
2013-01-30,47.227,47.656,47.227,47.656,6713
2013-01-31,47.656,48.561,47.656,47.941,12987
2013-02-01,47.941,48.036,47.179,47.179,3457
2013-02-04,47.656,47.941,47.179,47.179,7920
2013-02-05,47.56,47.56,47.207,47.274,15941
2013-02-06,47.656,48.036,47.227,48.036,6342
2013-02-07,48.609,50.515,48.132,49.609,6423
2013-02-08,50.515,50.992,50.039,50.039,3443
2013-02-11,50.039,50.992,50.039,50.515,4588
2013-02-12,50.801,50.943,49.466,49.466,2717
2013-02-13,49.466,49.466,49.132,49.323,1445
2013-02-14,49.132,49.561,49.132,49.323,2920
2013-02-15,49.323,50.897,49.132,50.897,1864
2013-02-18,50.897,50.897,50.039,50.848,873
2013-02-19,50.848,50.848,46.179,48.609,3722
2013-02-20,48.609,49.323,48.609,48.704,10594
2013-02-21,48.704,49.704,48.227,48.799,12700
2013-02-22,48.799,49.944,48.799,48.941,31945
2013-02-25,49.084,50.897,49.084,50.515,4704
2013-02-26,50.801,50.897,50.039,50.706,4898
2013-02-27,50.61,50.706,50.039,50.61,1176
2013-02-28,50.61,51.944,50.229,51.802,5176
2013-03-01,51.325,52.325,51.325,52.325,5766
2013-03-04,52.325,52.373,50.229,50.706,3619
2013-03-05,50.42,52.183,50.42,51.944,3388
2013-03-06,52.23,52.23,50.515,52.23,4382
2013-03-07,52.23,52.802,52.23,52.611,12579
2013-03-08,52.611,52.897,51.753,52.897,9053
2013-03-11,53.279,54.755,52.039,54.707,9217
2013-03-12,54.422,54.565,53.516,54.376,6155
2013-03-13,54.327,54.518,52.993,53.85,1178
2013-03-14,53.184,54.422,53.184,54.327,4496
2013-03-15,54.327,56.138,52.897,52.897,11158
2013-03-18,54.327,56.138,53.374,55.376,45238
2013-03-19,56.185,57.234,56.185,57.186,46505
2013-03-20,57.186,61.666,57.186,60.904,49491
2013-03-21,60.904,63.095,59.569,60.045,14136
2013-03-22,57.949,60.045,57.377,59.093,13966
2013-03-25,59.093,59.093,56.28,57.091,4033
2013-03-26,56.28,56.566,56.233,56.52,2686
2013-03-27,56.329,56.52,53.802,56.089,6968
2013-03-28,56.233,59.713,56.138,56.138,15771
2013-04-02,57.377,60.521,57.186,60.521,12342
2013-04-03,59.95,59.95,57.377,57.662,25645
2013-04-04,58.711,60.76,58.711,59.093,45211
2013-04-05,59.95,59.95,59.093,59.378,6443
2013-04-08,59.95,60.045,58.616,59.093,43374
